"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"NC",1426,1215,1188,1196,1175,1165
"T01",144097,134387,133688,134125,131008,128261
"T02",139934,130376,129729,130124,127564,122730
"T03",139321,128897,128176,128703,122651,115973
"T04",56551,52372,51769,52159,48808,45569
"T05",196061,182499,181918,182360,178919,173306
"T06",203609,189825,189262,189698,186443,181780
"T07",208003,193465,192957,193308,190372,185504
"T08",197668,183111,181672,182664,173109,160958
"T09",139874,129557,128084,129209,121581,100220
"T10",14812,13065,13008,13041,12926,12785
"T11",121352,111658,110522,111367,105501,97859
"T12",166093,152909,151355,152542,144269,133854
"T13",172696,159276,157846,158631,147021,124958
"T14",174138,160969,160101,160581,152884,131756
"T15",117074,108412,107424,108142,104206,99506
"T16",137820,127637,126796,127333,123177,118216
"T17",246029,225718,224159,225298,217352,206409
"T18",166147,152066,150479,151330,142521,120553
"T19",208674,189123,186389,187937,172870,148254
"T20",39290,35546,35189,35417,33941,33009
"T21",226915,209183,205957,208384,193949,181976
"T22",228436,210378,206560,209476,193181,181563
"T23",141926,130991,130336,130667,110297,106526
"T24",191731,175474,174047,174987,154130,142503
"T25",199555,183233,178937,182707,167735,149716
"T26",186605,171948,166661,171286,153838,137845
"T27",193880,178287,174360,177822,164260,142870
"T28",185280,169102,167440,168854,143927,127905
"T29",142790,130305,128953,130075,112412,98996
"T30",19089,17211,17115,17177,16839,16761
